楷飞喊,矫痢,扁措咯疙(傈眉)[斥],扁措咯疙(巢磊)[斥],扁措咯疙(咯磊)[斥],荤噶犬伏(傈眉),荤噶犬伏(巢磊),荤噶犬伏(咯磊),积粮磊(傈眉),积粮磊(巢磊),积粮磊(咯磊),沥瘤牢备(傈眉),沥瘤牢备(巢磊),沥瘤牢备(咯磊),醚积粮斥荐(傈眉),醚积粮斥荐(巢磊),醚积粮斥荐(咯磊),荤噶磊(傈眉),荤噶磊(巢磊),荤噶磊(咯磊)
3技,1993 斥,70.96454,66.73474,75.18836,0.00062,0.00069,0.00055,98827.08286,98761.60733,98901.69176,98796.40136,98727.63708,98874.29617,7013218.787,6590830.202,7436256.266,61.363,67.9405,54.79117
3技,1994 斥,71.27773,67.0877,75.46288,0.00057,0.00063,0.00051,98912.20448,98858.05039,98973.54954,98883.94428,98826.75302,98948.32444,7050237.192,6632158.748,7468828.996,56.52042,62.59474,50.4502
3技,1995 斥,71.56293,67.43574,75.68623,0.00053,0.00058,0.00047,98991.15391,98946.97571,99040.73,98965.12808,98918.14458,99017.50805,7084097.447,6672562.471,7496019.444,52.05166,57.66224,46.44391
3技,1996 斥,71.93433,67.89539,75.97009,0.00047,0.00053,0.00042,99067.24335,99030.02977,99108.20607,99043.80202,99003.86358,99087.48871,7126335.736,6723682.94,7529258.862,46.88266,52.33238,41.43472
3技,1997 斥,72.331,68.34447,76.31494,0.00043,0.00048,0.00037,99137.60552,99106.5596,99170.89032,99116.49536,99082.81767,99152.41144,7170721.807,6773385.628,7568220.665,42.22033,47.48386,36.95776
3技,1998 斥,72.71427,68.82676,76.59987,0.00039,0.00044,0.00034,99211.13054,99186.86126,99236.05855,99191.80779,99165.15853,99219.11565,7214065.406,6826710.197,7601469.206,38.64551,43.40547,33.8858
3技,1999 斥,73.04098,69.28807,76.79254,0.00036,0.0004,0.00031,99278.37911,99259.95003,99296.03095,99260.6949,99240.11273,99280.49996,7251390.541,6877530.765,7625194.013,35.36842,39.67459,31.06198
3技,2000 斥,73.51824,69.85133,77.1835,0.00035,0.0004,0.00031,99327.89788,99303.45673,99353.01524,99310.27737,99283.60403,99337.62725,7302411.779,6936478.372,7668413.734,35.24103,39.70539,30.77598
3技,2001 斥,73.97705,70.39329,77.55862,0.00035,0.0004,0.00031,99372.59866,99343.06507,99403.85974,99355.04247,99323.19774,99388.61438,7351291.655,6993085.328,7709625.785,35.11238,39.73465,30.49073
3技,2002 斥,74.29364,70.83688,77.74787,0.00038,0.00043,0.00034,99392.33111,99357.38611,99430.29602,99373.24295,99335.89632,99413.60891,7384218.329,7038167.228,7730493.8,38.17633,42.97958,33.37423
3技,2003 斥,74.7242,71.26272,78.18181,0.00031,0.00035,0.00028,99408.95779,99355.70055,99466.80864,99393.49868,99338.50907,99453.08119,7428254.641,7080357.681,7776494.876,30.91822,34.38298,27.4549
3技,2004 斥,75.18912,71.72569,78.65038,0.0003,0.00033,0.00027,99454.5687,99424.30997,99486.91752,99439.68981,99407.78376,99473.68565,7477901.694,7131277.113,7824683.444,29.75777,33.05242,26.46374
3技,2005 斥,75.6225,72.26242,78.98133,0.00025,0.0003,0.00019,99514.70365,99496.59768,99533.83784,99502.4043,99481.63907,99524.19762,7525551.119,7189864.898,7861315.125,24.5987,29.91721,19.28043
3技,2006 斥,76.1353,72.80735,79.46085,0.00024,0.00025,0.00023,99546.08677,99511.53789,99583.01961,99533.96387,99498.85157,99571.45984,7578971.06,7245171.855,7912951.786,24.2458,25.37263,23.11954
3技,2007 斥,76.48611,73.19987,79.77039,0.00023,0.00025,0.0002,99581.89855,99552.99354,99612.21802,99570.65986,99540.59717,99602.13684,7616631.87,7287266.503,7946105.455,22.4774,24.79274,20.16237
3技,2008 斥,76.92047,73.565,80.27454,0.0002,0.00023,0.00018,99601.32524,99580.87742,99622.49291,99591.11687,99569.23267,99613.72086,7661380.812,7325667.392,7997149.641,20.41673,23.2895,17.54411
3技,2009 斥,77.33484,73.97633,80.69272,0.00018,0.00018,0.00019,99628.4864,99619.32114,99638.38904,99619.37765,99610.5654,99628.9272,7704753.519,7369471.548,8040092.581,18.21752,17.51149,18.92368
3技,2010 斥,77.53937,74.16766,80.90775,0.00017,0.00018,0.00015,99622.32406,99574.63915,99673.09556,99614.00133,99565.48858,99665.60042,7724652.665,7385218.385,8064326.348,16.64546,18.30114,14.99029
3技,2011 斥,77.90674,74.56873,81.2422,0.00017,0.00018,0.00016,99640.23283,99602.98225,99679.34923,99631.7371,99593.79959,99671.54028,7762645.667,7427267.497,8098169.242,16.99145,18.36533,15.61789
